subject_nr	trial_nb	version	label	PW_code	PW	C	V	mode	place	voicing	judgment	response_time
8	12	V2_1	a_fish	i_fric_alv_NV	isis	s	i	fricative	medium	voiceless	1	2679.755126
8	15	V2_1	a_dangerous_animal	i_occ_alv_V	idid	d	i	plosive	medium	voiced	2	1644.998275
8	4	V2_1	a_harmless_animal	u_occ_bi_V	ubub	b	u	plosive	anterior	voiced	3	866.6173591
8	14	V2_1	a_large_animal	a_occ_bi_NV	apap	p	a	plosive	anterior	voiceless	3	1619.215441
8	9	V2_1	a_small_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	4	2898.616387
8	13	V2_1	an_attractive_animal	a_nas_alv	anan	n	a	sonorant	medium	voiced	5	3089.4965
8	7	V2_1	a_repulsive_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	6	1957.769216
8	11	V2_1	a_harmless_animal	i_occ_vel_V	igig	g	i	plosive	posterior	voiced	9	2228.082257
8	6	V2_1	a_harmless_animal	u_occ_vel_NV	ukuk	k	u	plosive	posterior	voiceless	10	2478.131421
9	14	V1_2	a_small_animal	a_occ_bi_V	abab	b	a	plosive	anterior	voiced	1	1999.185244
9	4	V1_2	a_dangerous_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	2	842.860392
9	5	V1_2	a_dangerous_animal	i_app_alv	ilil	l	i	sonorant	medium	voiced	2	853.2863527
9	8	V1_2	a_harmless_animal	u_occ_bi_NV	upup	p	u	plosive	anterior	voiceless	2	1835.682529
9	10	V1_2	a_large_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	2	2239.793785
9	12	V1_2	an_attractive_animal	a_occ_vel_NV	akak	k	a	plosive	posterior	voiceless	2	1819.801578
9	9	V1_2	a_harmless_animal	u_nas_bi	umum	m	u	sonorant	anterior	voiced	3	765.3215306
9	13	V1_2	a_dangerous_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	3	1786.867699
9	6	V1_2	a_repulsive_animal	i_nas_alv	inin	n	i	sonorant	medium	voiced	5	1595.641106
9	7	V1_2	a_dangerous_animal	u_occ_vel_V	ugug	g	u	plosive	posterior	voiced	7	1887.241242
9	15	V1_2	a_fish	a_frac_alv_NV	asas	s	a	fricative	medium	voiceless	7	2038.79873
9	11	V1_2	a_bird	i_occ_alv_NV	itit	t	i	plosive	medium	voiceless	10	1618.750904
10	7	V2_2	a_repulsive_animal	a_nas_alv	anan	n	a	sonorant	medium	voiced	2	1841.008999
10	15	V2_2	a_dangerous_animal	u_occ_bi_V	ubub	b	u	plosive	anterior	voiced	2	1832.416707
10	4	V2_2	a_dangerous_animal	u_occ_vel_NV	ukuk	k	u	plosive	posterior	voiceless	3	2017.833152
10	5	V2_2	a_dangerous_animal	i_occ_vel_V	igig	g	i	plosive	posterior	voiced	3	2425.565254
10	9	V2_2	a_bird	i_fric_alv_NV	isis	s	i	fricative	medium	voiceless	5	2000.445953
10	11	V2_2	a_fish	a_occ_alv_NV	atat	t	a	plosive	medium	voiceless	5	1792.025024
10	6	V2_2	a_large_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	7	1411.262977
10	13	V2_2	an_attractive_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	8	1984.913084
10	14	V2_2	a_harmless_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	8	2341.290079
10	8	V2_2	a_harmless_animal	i_occ_alv_V	idid	d	i	plosive	medium	voiced	9	2094.808207
10	10	V2_2	a_small_animal	a_occ_bi_NV	apap	p	a	plosive	anterior	voiceless	9	1394.24095
10	12	V2_2	a_harmless_animal	i_nas_bi	imim	m	i	sonorant	anterior	voiced	9	924.6071343
11	12	V1_1	a_fish	i_occ_alv_NV	itit	t	i	plosive	medium	voiceless	2	2178.114669
