subject_nr	trial_nb	label	PW_code_left	PW_code_right	chosen_PW_code	chosen_PW	context	contrast	C	V	mode	place	voicing	response_time
4	2	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	493.8362997
40	2	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	444.5094447
41	1	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	430.9699517
42	3	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	1457.457404
43	1	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	1087.788145
44	1	an_attractive_animal	a_occ_alv_V	a_frac_uvu	None	x	x	x	x	x	x	x	x	2500.055281
47	2	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	656.0946379
50	2	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	409.3199762
52	1	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	1287.997226
53	3	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	934.1807004
55	2	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	945.0357221
56	2	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	322.6992607
57	3	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	1351.829391
59	1	an_attractive_animal	a_frac_uvu	a_occ_alv_V	None	x	x	x	x	x	x	x	x	2500.072292
61	3	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	1001.653346
63	3	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	130.19443
64	2	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	529.1970673
6	0	a_fish	u_occ_alv_V	u_fric_alv_NV	u_fric_alv_NV	usus	x	x	s	u	fricative	medium	voiceless	282.3426663
70	3	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	574.7555145
1	2	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	450.568729
10	2	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	742.4127804
11	1	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	726.0483091
14	1	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	1024.123103
19	3	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	59.25859467
2	1	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	336.6666589
30	1	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	545.0607436
33	2	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	1512.469088
34	2	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	892.4029463
35	1	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	391.6945522
7	0	an_attractive_animal	a_occ_alv_V	a_frac_uvu	None	x	x	x	x	x	x	x	x	2500.023672
45	3	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	28.514901
8	0	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	2418.095042
48	3	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	543.8815623
9	0	a_bird	u_fric_alv_NV	u_occ_alv_V	u_fric_alv_NV	usus	x	x	s	u	fricative	medium	voiceless	793.7213852
51	1	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	344.206727
54	1	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	1682.746295
6	1	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	346.1024921
62	1	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	306.1336689
66	3	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	522.5872525
67	2	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	815.5784928
10	0	a_harmless_animal	i_fric_ld_NV	y_occ_bi_NV	None	x	x	x	x	x	x	x	x	2500.020361
69	3	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	317.6656258
71	3	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	330.4657023
72	3	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	423.2426952
73	2	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	627.7845344
74	2	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	175.9247729
75	2	a_repulsive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	852.2621724
11	0	a_fish	u_fric_alv_NV	u_occ_alv_V	None	x	x	x	x	x	x	x	x	2500.021023
9	2	a_repulsive_animal	a_occ_alv_V	a_frac_uvu	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	660.4973933
14	4	an_attractive_animal	a_nas_alv	i_nas_alv	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	722.3111882
16	6	an_attractive_animal	a_nas_alv	i_nas_alv	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	1038.198223
22	7	an_attractive_animal	i_nas_alv	a_nas_alv	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	819.8673269
30	8	an_attractive_animal	a_nas_alv	i_nas_alv	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	1463.403966
4	6	an_attractive_animal	i_nas_alv	a_nas_alv	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	1951.108208
46	8	an_attractive_animal	i_nas_alv	a_nas_alv	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	509.8386501
